date,pango_lineage
2022-11-28,BA.5.2.9
2022-11-27,BA.4.6
2022-11-27,BQ.1.1.35
2022-11-27,BQ.1.1
2022-11-27,BQ.1
2022-11-28,BA.5.2.1
2022-11-28,BQ.1.1
2022-11-20,BQ.1.1
2022-11-20,BA.5.1
2022-11-20,BQ.1
2022-11-21,BQ.1.1.40
2022-11-20,BQ.1.10
2022-11-20,BF.7.6
2022-11-20,BA.5.2
2022-10-17,BA.5.2.1
2022-10-26,BA.5.2.33
2022-11-21,BQ.1.1
2022-11-18,BQ.1.13
2022-11-19,BF.5
2022-12-24,BQ.1.1
2022-12-26,BF.7
2022-12-25,BQ.1.1.1
2022-12-25,BQ.1.2
2022-12-26,BQ.1.1.5
2022-11-21,BQ.1.1
2022-10-24,BA.5.2
2022-10-22,BA.5.2
2022-11-21,BQ.1.1.4
2022-12-05,BA.5.2.13
2022-12-05,BQ.1.14
2022-12-06,BQ.1.1.3
2022-12-05,BF.11.3
2022-12-05,BA.5.2.1
2022-12-05,BA.5.2
2022-12-05,BF.7.5
2022-12-05,BF.7.20
2022-12-05,DE.2
2022-12-05,BF.7.16
2022-12-06,BQ.1
2022-12-06,BQ.1
2022-12-06,BQ.1.14
2022-12-01,BF.7.20
2022-11-29,BA.5.1.25
2022-11-28,BQ.1.3
2022-11-30,BA.5.2.1
2022-12-07,BA.5.1
2022-12-07,BQ.1.14
2022-12-07,BA.5.2.1
2022-12-07,BA.4.6
2022-12-07,BQ.1.14
2022-12-07,BF.7.20
2022-12-07,BA.5.2.13
2022-11-05,BQ.1.1
2022-11-06,BQ.1
2022-11-06,BA.5.2.22
2022-11-05,BA.5.2.8
2022-12-19,XBB.1
2022-12-18,BQ.1.1
2022-12-16,BQ.1
2022-12-19,BQ.1.1
2022-12-19,BQ.1.1
2022-12-19,BQ.1.1
2022-12-17,BQ.1.1
2022-12-19,BQ.1.1.40
2022-12-19,BQ.1.1
2022-12-18,BQ.1.1.8
2022-12-19,BQ.1.1.4
2022-12-19,BQ.1.2
2022-12-19,BQ.1.2
2022-12-19,BQ.1.1
2022-12-18,BQ.1.22
2022-12-18,BQ.1.12
2022-12-19,BR.2.1
2022-12-20,BQ.1.1.56
2022-12-19,BQ.1.1
2022-12-19,BQ.1.2
2022-12-11,BQ.1.13
2022-12-12,BQ.1.2
2022-12-13,XBB.1.5
2022-12-13,BQ.1.1
2022-12-13,BQ.1.1.1
2022-12-14,BN.1.3.1
2022-12-13,BQ.1.2
2022-12-12,BQ.1.1.5
2022-12-13,BQ.1
2022-12-12,BQ.1.1
2022-12-12,BQ.1.2
2022-12-12,BQ.1.2
2022-12-12,BQ.1.1
2022-12-12,BQ.1.1
2022-12-11,BQ.1.1
2022-12-11,BQ.1.1
2022-12-12,XBB.1.5
2022-12-14,XBB.1.26
2022-12-14,BQ.1.2
2022-12-13,BQ.1.1
2022-12-13,BQ.1.1
2022-12-13,BQ.1
2022-12-13,BQ.1.2
2022-12-12,BA.5.2.57
2022-12-12,BQ.1.1
2022-12-12,BQ.1.2
2022-12-13,BA.5.2
2022-12-13,BQ.1.2
2022-12-13,BQ.1.12
2022-12-20,BQ.1.12
2022-12-21,BQ.1.1.55
2022-12-21,BQ.1.2
2022-12-21,XBB.1
2022-12-21,BE.1.2.1
2022-12-21,BA.5.1.25
2022-12-22,BA.5.2
2022-12-22,XBF
2022-12-23,XBF
2022-12-23,BQ.1.12
2022-12-25,BQ.1.12
2022-12-18,BQ.1.1.55
2022-12-19,EE.3
2022-12-19,BQ.1.1.55
2022-12-17,BQ.1
2022-12-17,BQ.1.1
2022-12-19,BQ.1.1.55
2022-12-18,BQ.1.1.18
2022-12-19,BQ.1.12
2022-12-19,BQ.1.1
2022-12-18,BQ.1.1
2022-12-19,BQ.1
2022-12-20,BQ.1.1.1
2022-12-19,BQ.1.1.41
2022-12-18,BF.7.4
2022-12-21,CM.8.1
2022-12-21,BQ.1
2022-12-21,BQ.1.2
2022-12-22,BQ.1.12
2022-12-21,BQ.1.12
2022-12-21,BQ.1.3
2022-12-21,BN.1.3.5
2022-12-21,BQ.1.1.4
2022-12-20,BA.1.15
2022-12-20,XBB.1.15
2022-12-20,XBB.1.5
2022-12-20,BQ.1.2
2022-12-20,BQ.1.1
2022-12-20,BQ.1.1.1
2022-12-20,BQ.1.2
2022-12-19,BQ.1.1
2022-12-19,BQ.1.1.55
2022-12-20,CM.8.1
2022-12-22,BQ.1.1.1
2022-12-22,BQ.1.2
2022-12-24,BQ.1.2
2022-12-24,BW.1.1.2
2022-12-24,BQ.1.2
2022-12-20,BQ.1
2022-12-21,EE.3
2022-12-22,BQ.1.1
2022-12-22,BQ.1.2
2022-12-22,BQ.1.12
2022-12-22,BQ.1.1.1
2022-12-22,CM.8.1
2022-12-23,BN.1.3.1
2022-12-23,BQ.1.2
2022-12-23,BQ.1.2
2022-12-22,BQ.1.2
2022-12-21,BN.1
2022-12-22,BQ.1.2
2022-12-22,BQ.1.1.41
2022-12-22,BQ.1.2
2022-12-23,BQ.1.2
2022-12-23,BR.2.1
2022-12-23,XBB.1
2022-12-24,BQ.1.1.8
2022-12-24,BQ.1.1
2022-12-24,BQ.1.12
2022-12-22,BA.5.2.1
2022-12-24,BQ.1.1
2022-12-24,BQ.1.10
2022-12-23,BQ.1.12
2022-12-23,BQ.1.1.41
2022-12-24,CH.1.1.11
2022-12-24,BQ.1.2
2022-12-23,BQ.1.1.4
2022-12-25,BE.1.2.1
2022-12-24,BA.4.6
2022-12-16,BN.5
2022-12-24,BQ.1.12
2022-12-23,BQ.1.12
2022-12-22,BQ.1
2022-12-23,BQ.1.1
2022-12-24,BN.1.2.1
2022-12-22,BQ.1.12
2022-12-21,BA.5.2.35
2022-12-22,BA.5.2
2022-12-23,BY.1
2022-12-24,BQ.1.12
2022-12-23,CH.1.1
2022-12-24,BQ.1.1.1
2022-12-24,XBF
2022-12-23,BQ.1.1
2022-12-23,BQ.1.1.41
2022-12-23,BQ.1.2
2022-12-23,BQ.1.1
2022-12-21,BA.5.1
2022-12-24,BA.5.2
2022-12-22,BQ.1.2
2022-12-24,BQ.1.1
2022-12-26,BQ.1.2
2022-12-21,BQ.1.1
