lineage,parent,children
A,NA,A
A.1,A,A.1
A,NA,A.1
A.2,A,A.2
A,NA,A.2
A.2.2,A.2,A.2.2
A.2,A,A.2.2
A,NA,A.2.2
A.2.3,A.2,A.2.3
A.2,A,A.2.3
A,NA,A.2.3
A.2.4,A.2,A.2.4
A.2,A,A.2.4
A,NA,A.2.4
A.2.5,A.2,A.2.5
A.2,A,A.2.5
A,NA,A.2.5
A.2.5.1,A.2.5,A.2.5.1
A.2.5,A.2,A.2.5.1
A.2,A,A.2.5.1
A,NA,A.2.5.1
A.2.5.2,A.2.5,A.2.5.2
A.2.5,A.2,A.2.5.2
A.2,A,A.2.5.2
A,NA,A.2.5.2
A.2.5.3,A.2.5,A.2.5.3
A.2.5,A.2,A.2.5.3
A.2,A,A.2.5.3
A,NA,A.2.5.3
A.3,A,A.3
A,NA,A.3
A.4,A,A.4
A,NA,A.4
A.5,A,A.5
A,NA,A.5
A.6,A,A.6
A,NA,A.6
A.7,A,A.7
A,NA,A.7
A.9,A,A.9
A,NA,A.9
A.11,A,A.11
A,NA,A.11
A.12,A,A.12
A,NA,A.12
A.15,A,A.15
A,NA,A.15
A.16,A,A.16
A,NA,A.16
A.17,A,A.17
A,NA,A.17
A.18,A,A.18
A,NA,A.18
A.19,A,A.19
A,NA,A.19
A.21,A,A.21
A,NA,A.21
A.22,A,A.22
A,NA,A.22
A.23,A,A.23
A,NA,A.23
A.23.1,A.23,A.23.1
A.23,A,A.23.1
A,NA,A.23.1
A.24,A,A.24
A,NA,A.24
A.25,A,A.25
A,NA,A.25
A.26,A,A.26
A,NA,A.26
A.27,A,A.27
A,NA,A.27
A.28,A,A.28
A,NA,A.28
A.29,A,A.29
A,NA,A.29
A.30,A,A.30
A,NA,A.30
B,NA,B
B.1,B,B.1
B,NA,B.1
B.1.1,B.1,B.1.1
B.1,B,B.1.1
B,NA,B.1.1
B.1.1.1,B.1.1,B.1.1.1
B.1.1,B.1,B.1.1.1
B.1,B,B.1.1.1
B,NA,B.1.1.1
C.1,B.1.1.1,C.1
B.1.1.1,B.1.1,C.1
B.1.1,B.1,C.1
B.1,B,C.1
B,NA,C.1
C.1.1,C.1,C.1.1
C.1,B.1.1.1,C.1.1
B.1.1.1,B.1.1,C.1.1
B.1.1,B.1,C.1.1
B.1,B,C.1.1
