weekDate	variant	week.x	Freq	total	prop	weight	week.y	predicted	std.error	conf.low	conf.high	group	sublineage_grouped	supergroup	prop.diff	withinInd	projInd
2022-10-23	BQ.1.1	146	150	1846	0.081257	150	146	0.074918	0.003534	0.067913	0.081444	1	BQ.1.1*	BQ.1.1	0.006339	TRUE	FALSE
2022-10-23	Other	146	17	1846	0.009209	17	146	0.01281	0.001752	0.009767	0.016944	1	Other	Other	0.003601	TRUE	FALSE
2022-10-23	BA.4.6	146	118	1846	0.063922	118	146	0.068152	0.004408	0.06016	0.077241	1	BA.4.6*	BA.4.6	0.00423	TRUE	FALSE
2022-10-23	BA.5.1	146	269	1846	0.14572	269	146	0.143321	0.006149	0.131193	0.155722	1	BA.5.1*	BA.5	0.0024	TRUE	FALSE
2022-10-23	BA.5.2	146	343	1846	0.185807	343	146	0.195024	0.00663	0.18168	0.207536	1	BA.5.2*	BA.5.2	0.009217	TRUE	FALSE
2022-10-23	BA.5.2.1	146	477	1846	0.258397	477	146	0.246006	0.007393	0.231991	0.260704	1	BA.5.2.1*	BA.5.2	0.01239	TRUE	FALSE
2022-10-23	BF.7	146	122	1846	0.066089	122	146	0.069322	0.003941	0.062002	0.078152	1	BF.7*	BA.5.2	0.003233	TRUE	FALSE
2022-10-23	BQ.1	146	126	1846	0.068256	126	146	0.074368	0.003774	0.066933	0.081924	1	BQ.1*	BQ.1	0.006112	TRUE	FALSE
2022-10-23	BQ.1.2	146	30	1846	0.016251	30	146	0.021581	0.00204	0.01812	0.025857	1	BQ.1.2*	BQ.1	0.00533	TRUE	FALSE
2022-10-23	XBB.1.5	146	0	1846	0	1	146	0.000178	0.00013	3.8e-05	0.000728	1	XBB.1.5*	XBB	0.000178	TRUE	FALSE
2022-10-23	BA.5	146	134	1846	0.072589	134	146	0.065348	0.004224	0.057662	0.074647	1	BA.5*	BA.5	0.007242	TRUE	FALSE
2022-10-23	BA.2.75	146	50	1846	0.027086	50	146	0.025558	0.002406	0.021342	0.03022	1	BA.2.75*	BA.2.75	0.001527	TRUE	FALSE
2022-10-23	XBB	146	10	1846	0.005417	10	146	0.003415	0.000824	0.002149	0.005591	1	XBB*	XBB	0.002002	TRUE	FALSE
2022-10-30	BQ.1.1	147	139	1565	0.088818	139	147	0.105273	0.003931	0.097336	0.11236	1	BQ.1.1*	BQ.1.1	0.016455	TRUE	FALSE
2022-10-30	Other	147	27	1565	0.017252	27	147	0.013937	0.001546	0.011215	0.017425	1	Other	Other	0.003315	TRUE	FALSE
2022-10-30	BA.4.6	147	100	1565	0.063898	100	147	0.059821	0.003113	0.053954	0.065769	1	BA.4.6*	BA.4.6	0.004076	TRUE	FALSE
2022-10-30	BA.5.1	147	197	1565	0.125879	197	147	0.12363	0.004321	0.115188	0.132026	1	BA.5.1*	BA.5	0.002249	TRUE	FALSE
2022-10-30	BA.5.2	147	310	1565	0.198083	310	147	0.186635	0.005138	0.17605	0.195976	1	BA.5.2*	BA.5.2	0.011448	TRUE	FALSE
2022-10-30	BA.5.2.1	147	343	1565	0.219169	343	147	0.220001	0.005457	0.209841	0.230539	1	BA.5.2.1*	BA.5.2	0.000831	TRUE	FALSE
2022-10-30	BF.7	147	118	1565	0.075399	118	147	0.07654	0.003502	0.070349	0.084557	1	BF.7*	BA.5.2	0.001141	TRUE	FALSE
2022-10-30	BQ.1	147	169	1565	0.107987	169	147	0.093192	0.003781	0.085591	0.100532	1	BQ.1*	BQ.1	0.014795	TRUE	FALSE
2022-10-30	BQ.1.2	147	37	1565	0.023642	37	147	0.027323	0.002107	0.023552	0.031595	1	BQ.1.2*	BQ.1	0.003681	TRUE	FALSE
2022-10-30	XBB.1.5	147	0	1565	0	1	147	0.000317	0.000194	9e-05	0.001032	1	XBB.1.5*	XBB	0.000317	TRUE	FALSE
2022-10-30	BA.5	147	75	1565	0.047923	75	147	0.060249	0.003135	0.054513	0.067077	1	BA.5*	BA.5	0.012326	TRUE	FALSE
2022-10-30	BA.2.75	147	42	1565	0.026837	42	147	0.02882	0.002201	0.024853	0.032914	1	BA.2.75*	BA.2.75	0.001983	TRUE	FALSE
2022-10-30	XBB	147	8	1565	0.005112	8	147	0.004261	0.000843	0.002917	0.006362	1	XBB*	XBB	0.000851	TRUE	FALSE
2022-11-06	BQ.1.1	148	177	1335	0.132584	177	148	0.143982	0.004131	0.135588	0.1518	1	BQ.1.1*	BQ.1.1	0.011398	TRUE	FALSE
2022-11-06	Other	148	21	1335	0.01573	21	148	0.014759	0.00133	0.012423	0.017482	1	Other	Other	0.000971	TRUE	FALSE
2022-11-06	BA.4.6	148	80	1335	0.059925	80	148	0.051108	0.002306	0.046619	0.055518	1	BA.4.6*	BA.4.6	0.008817	TRUE	FALSE
2022-11-06	BA.5.1	148	146	1335	0.109363	146	148	0.103799	0.0032	0.097581	0.110177	1	BA.5.1*	BA.5	0.005565	TRUE	FALSE
2022-11-06	BA.5.2	148	236	1335	0.176779	236	148	0.173843	0.004057	0.165638	0.181511	1	BA.5.2*	BA.5.2	0.002936	TRUE	FALSE
2022-11-06	BA.5.2.1	148	255	1335	0.191011	255	148	0.191496	0.004175	0.183989	0.199772	1	BA.5.2.1*	BA.5.2	0.000484	TRUE	FALSE
2022-11-06	BF.7	148	130	1335	0.097378	130	148	0.082256	0.003042	0.076924	0.088847	1	BF.7*	BA.5.2	0.015123	TRUE	FALSE
2022-11-06	BQ.1	148	131	1335	0.098127	131	148	0.113666	0.003635	0.106546	0.120537	1	BQ.1*	BQ.1	0.015539	TRUE	FALSE
2022-11-06	BQ.1.2	148	38	1335	0.028464	38	148	0.033669	0.002078	0.029907	0.037814	1	BQ.1.2*	BQ.1	0.005205	TRUE	FALSE
2022-11-06	XBB.1.5	148	0	1335	0	1	148	0.000551	0.000274	2e-04	0.001467	1	XBB.1.5*	XBB	0.000551	TRUE	FALSE
2022-11-06	BA.5	148	84	1335	0.062921	84	148	0.054066	0.002388	0.049436	0.059133	1	BA.5*	BA.5	0.008855	TRUE	FALSE
2022-11-06	BA.2.75	148	32	1335	0.02397	32	148	0.03163	0.001952	0.028224	0.035246	1	BA.2.75*	BA.2.75	0.00766	TRUE	FALSE
2022-11-06	XBB	148	5	1335	0.003745	5	148	0.005175	0.000824	0.003798	0.007109	1	XBB*	XBB	0.00143	TRUE	FALSE
2022-11-13	BQ.1.1	149	265	1266	0.209321	265	149	0.191008	0.004165	0.183115	0.19923	1	BQ.1.1*	BQ.1.1	0.018313	TRUE	FALSE
2022-11-13	Other	149	24	1266	0.018957	24	149	0.01516	0.001185	0.013084	0.017534	1	Other	Other	0.003797	TRUE	FALSE
2022-11-13	BA.4.6	149	41	1266	0.032385	41	149	0.042352	0.001984	0.03855	0.046095	1	BA.4.6*	BA.4.6	0.009966	TRUE	FALSE
2022-11-13	BA.5.1	149	84	1266	0.066351	84	149	0.08453	0.002758	0.079435	0.089946	1	BA.5.1*	BA.5	0.018179	TRUE	FALSE
2022-11-13	BA.5.2	149	207	1266	0.163507	207	149	0.157062	0.003537	0.149957	0.164357	1	BA.5.2*	BA.5.2	0.006445	TRUE	FALSE
2022-11-13	BA.5.2.1	149	197	1266	0.155608	197	149	0.161675	0.00362	0.154962	0.169004	1	BA.5.2.1*	BA.5.2	0.006067	TRUE	FALSE
2022-11-13	BF.7	149	90	1266	0.07109	90	149	0.085742	0.002731	0.080728	0.091532	1	BF.7*	BA.5.2	0.014652	TRUE	FALSE
2022-11-13	BQ.1	149	158	1266	0.124803	158	149	0.134473	0.00346	0.127947	0.141227	1	BQ.1*	BQ.1	0.00967	TRUE	FALSE
2022-11-13	BQ.1.2	149	71	1266	0.056082	71	149	0.040243	0.002005	0.036722	0.044338	1	BQ.1.2*	BQ.1	0.015839	TRUE	FALSE
2022-11-13	XBB.1.5	149	0	1266	0	1	149	0.000927	0.000359	0.000415	0.002058	1	XBB.1.5*	XBB	0.000927	TRUE	FALSE
2022-11-13	BA.5	149	65	1266	0.051343	65	149	0.04706	0.002059	0.043218	0.051007	1	BA.5*	BA.5	0.004282	TRUE	FALSE
2022-11-13	BA.2.75	149	60	1266	0.047393	60	149	0.033672	0.001765	0.030545	0.036983	1	BA.2.75*	BA.2.75	0.013721	TRUE	FALSE
2022-11-13	XBB	149	4	1266	0.00316	4	149	0.006096	0.00079	0.004717	0.007918	1	XBB*	XBB	0.002937	TRUE	FALSE
2022-11-20	BQ.1.1	150	344	1405	0.24484	344	150	0.245199	0.004295	0.237016	0.25365	1	BQ.1.1*	BQ.1.1	0.000359	TRUE	FALSE
2022-11-20	Other	150	22	1405	0.015658	22	150	0.015069	0.001191	0.012773	0.017543	1	Other	Other	0.00059	TRUE	FALSE
2022-11-20	BA.4.6	150	55	1405	0.039146	55	150	0.033961	0.001927	0.030283	0.037709	1	BA.4.6*	BA.4.6	0.005185	TRUE	FALSE
2022-11-20	BA.5.1	150	96	1405	0.068327	96	150	0.066613	0.002669	0.06168	0.072069	1	BA.5.1*	BA.5	0.001714	TRUE	FALSE
2022-11-20	BA.5.2	150	181	1405	0.128826	181	150	0.137313	0.003514	0.130634	0.144911	1	BA.5.2*	BA.5.2	0.008487	TRUE	FALSE
2022-11-20	BA.5.2.1	150	158	1405	0.112456	158	150	0.132086	0.003554	0.125361	0.139605	1	BA.5.2.1*	BA.5.2	0.01963	TRUE	FALSE
2022-11-20	BF.7	150	124	1405	0.088256	124	150	0.086486	0.002747	0.081206	0.092464	1	BF.7*	BA.5.2	0.00177	TRUE	FALSE
2022-11-20	BQ.1	150	240	1405	0.170819	240	150	0.153944	0.003516	0.147182	0.160984	1	BQ.1*	BQ.1	0.016875	TRUE	FALSE
2022-11-20	BQ.1.2	150	76	1405	0.054093	76	150	0.046545	0.002041	0.042849	0.050666	1	BQ.1.2*	BQ.1	0.007548	TRUE	FALSE
2022-11-20	XBB.1.5	150	1	1405	0.000712	1	150	0.00151	0.000437	0.000829	0.002771	1	XBB.1.5*	XBB	0.000798	TRUE	FALSE
2022-11-20	BA.5	150	45	1405	0.032028	45	150	0.039638	0.002028	0.035724	0.043481	1	BA.5*	BA.5	0.007609	TRUE	FALSE
2022-11-20	BA.2.75	150	60	1405	0.042705	60	150	0.034687	0.001777	0.031329	0.038268	1	BA.2.75*	BA.2.75	0.008018	TRUE	FALSE
2022-11-20	XBB	150	3	1405	0.002135	3	150	0.00695	0.000802	0.005553	0.008722	1	XBB*	XBB	0.004814	TRUE	FALSE
2022-11-27	BQ.1.1	151	419	1320	0.317424	419	151	0.304347	0.00498	0.294832	0.313648	1	BQ.1.1*	BQ.1.1	0.013077	TRUE	FALSE
2022-11-27	Other	151	16	1320	0.012121	16	151	0.014482	0.001338	0.011926	0.017311	1	Other	Other	0.002361	TRUE	FALSE
2022-11-27	BA.4.6	151	29	1320	0.02197	29	151	0.026332	0.00189	0.022819	0.030037	1	BA.4.6*	BA.4.6	0.004362	TRUE	FALSE
2022-11-27	BA.5.1	151	64	1320	0.048485	64	151	0.050756	0.002598	0.045894	0.056009	1	BA.5.1*	BA.5	0.002271	TRUE	FALSE
2022-11-27	BA.5.2	151	163	1320	0.123485	163	151	0.116073	0.003703	0.109055	0.123828	1	BA.5.2*	BA.5.2	0.007411	TRUE	FALSE
2022-11-27	BA.5.2.1	151	112	1320	0.084848	112	151	0.10434	0.003591	0.097719	0.112131	1	BA.5.2.1*	BA.5.2	0.019491	TRUE	FALSE
2022-11-27	BF.7	151	120	1320	0.090909	120	151	0.08435	0.003096	0.0789	0.090881	1	BF.7*	BA.5.2	0.00656	TRUE	FALSE
2022-11-27	BQ.1	151	238	1320	0.180303	238	151	0.170401	0.00407	0.162018	0.178597	1	BQ.1*	BQ.1	0.009902	TRUE	FALSE
2022-11-27	BQ.1.2	151	88	1320	0.066667	88	151	0.052052	0.002385	0.047319	0.056747	1	BQ.1.2*	BQ.1	0.014615	TRUE	FALSE
2022-11-27	XBB.1.5	151	2	1320	0.001515	2	151	0.002378	0.000527	0.001526	0.003757	1	XBB.1.5*	XBB	0.000863	TRUE	FALSE
2022-11-27	BA.5	151	33	1320	0.025	33	151	0.032281	0.002067	0.028429	0.036146	1	BA.5*	BA.5	0.007281	TRUE	FALSE
2022-11-27	BA.2.75	151	24	1320	0.018182	24	151	0.034549	0.002023	0.030856	0.038765	1	BA.2.75*	BA.2.75	0.016367	TRUE	FALSE
2022-11-27	XBB	151	12	1320	0.009091	12	151	0.00766	0.000938	0.006026	0.009644	1	XBB*	XBB	0.001431	TRUE	FALSE
2022-12-04	BQ.1.1	152	601	1574	0.38183	601	152	0.36559	0.006466	0.353369	0.378726	1	BQ.1.1*	BQ.1.1	0.01624	TRUE	FALSE
2022-12-04	Other	152	15	1574	0.00953	15	152	0.013469	0.001536	0.010639	0.016814	1	Other	Other	0.00394	TRUE	FALSE
2022-12-04	BA.4.6	152	30	1574	0.01906	30	152	0.019758	0.001772	0.016493	0.023324	1	BA.4.6*	BA.4.6	0.000698	TRUE	FALSE
2022-12-04	BA.5.1	152	63	1574	0.040025	63	152	0.037427	0.002412	0.033017	0.04227	1	BA.5.1*	BA.5	0.002598	TRUE	FALSE
2022-12-04	BA.5.2	152	129	1574	0.081957	129	152	0.094958	0.003845	0.087606	0.103167	1	BA.5.2*	BA.5.2	0.013001	TRUE	FALSE
2022-12-04	BA.5.2.1	152	146	1574	0.092757	146	152	0.079766	0.003503	0.073325	0.087332	1	BA.5.2.1*	BA.5.2	0.012991	TRUE	FALSE
2022-12-04	BF.7	152	128	1574	0.081321	128	152	0.079615	0.003609	0.072701	0.086934	1	BF.7*	BA.5.2	0.001707	TRUE	FALSE
2022-12-04	BQ.1	152	285	1574	0.181067	285	152	0.18254	0.005163	0.171721	0.19308	1	BQ.1*	BQ.1	0.001473	TRUE	FALSE
2022-12-04	BQ.1.2	152	77	1574	0.04892	77	152	0.056335	0.003085	0.050141	0.062691	1	BQ.1.2*	BQ.1	0.007415	TRUE	FALSE
2022-12-04	XBB.1.5	152	3	1574	0.001906	3	152	0.003625	0.000775	0.002373	0.005446	1	XBB.1.5*	XBB	0.001719	TRUE	FALSE
2022-12-04	BA.5	152	34	1574	0.021601	34	152	0.025442	0.002036	0.021545	0.029413	1	BA.5*	BA.5	0.003841	TRUE	FALSE
2022-12-04	BA.2.75	152	43	1574	0.027319	43	152	0.033303	0.002397	0.029057	0.038367	1	BA.2.75*	BA.2.75	0.005984	TRUE	FALSE
2022-12-04	XBB	152	20	1574	0.012706	20	152	0.008171	0.001205	0.006134	0.010831	1	XBB*	XBB	0.004536	TRUE	FALSE
2022-12-11	BQ.1.1	153	703	1734	0.405421	703	153	0.426023	0.008577	0.4089	0.443386	1	BQ.1.1*	BQ.1.1	0.020602	TRUE	FALSE
2022-12-11	Other	153	25	1734	0.014418	25	153	0.012153	0.001705	0.009122	0.015836	1	Other	Other	0.002264	TRUE	FALSE
2022-12-11	BA.4.6	153	27	1734	0.015571	27	153	0.014382	0.001571	0.011545	0.017563	1	BA.4.6*	BA.4.6	0.001189	TRUE	FALSE
2022-12-11	BA.5.1	153	51	1734	0.029412	51	153	0.026774	0.002116	0.023033	0.030874	1	BA.5.1*	BA.5	0.002638	TRUE	FALSE
2022-12-11	BA.5.2	153	141	1734	0.081315	141	153	0.07536	0.003819	0.068224	0.083489	1	BA.5.2*	BA.5.2	0.005955	TRUE	FALSE
2022-12-11	BA.5.2.1	153	123	1734	0.070934	123	153	0.059156	0.003241	0.053141	0.066288	1	BA.5.2.1*	BA.5.2	0.011778	TRUE	FALSE
2022-12-11	BF.7	153	119	1734	0.068627	119	153	0.072898	0.004107	0.065003	0.081292	1	BF.7*	BA.5.2	0.004271	TRUE	FALSE
2022-12-11	BQ.1	153	316	1734	0.182238	316	153	0.189696	0.006639	0.176111	0.203816	1	BQ.1*	BQ.1	0.007458	TRUE	FALSE
2022-12-11	BQ.1.2	153	87	1734	0.050173	87	153	0.059147	0.004025	0.051324	0.067943	1	BQ.1.2*	BQ.1	0.008974	TRUE	FALSE
2022-12-11	XBB.1.5	153	13	1734	0.007497	13	153	0.00536	0.001451	0.003104	0.008994	1	XBB.1.5*	XBB	0.002137	TRUE	FALSE
2022-12-11	BA.5	153	49	1734	0.028258	49	153	0.019453	0.001904	0.015909	0.023125	1	BA.5*	BA.5	0.008806	TRUE	FALSE
2022-12-11	BA.2.75	153	67	1734	0.038639	67	153	0.031142	0.002771	0.026125	0.037082	1	BA.2.75*	BA.2.75	0.007497	TRUE	FALSE
2022-12-11	XBB	153	13	1734	0.007497	13	153	0.008455	0.001551	0.005897	0.012176	1	XBB*	XBB	0.000958	TRUE	FALSE
2022-12-18	BQ.1.1	154	771	1739	0.443358	771	154	0.483224	0.011026	0.461183	0.50537	1	BQ.1.1*	BQ.1.1	0.039866	FALSE	TRUE
2022-12-18	Other	154	33	1739	0.018976	33	154	0.010673	0.001807	0.007481	0.01458	1	Other	Other	0.008303	FALSE	TRUE
2022-12-18	BA.4.6	154	13	1739	0.007476	13	154	0.01019	0.001323	0.007808	0.012929	1	BA.4.6*	BA.4.6	0.002715	FALSE	TRUE
2022-12-18	BA.5.1	154	42	1739	0.024152	42	154	0.018642	0.001762	0.015514	0.022073	1	BA.5.1*	BA.5	0.005509	FALSE	TRUE
2022-12-18	BA.5.2	154	132	1739	0.075906	132	154	0.058214	0.003611	0.051538	0.065733	1	BA.5.2*	BA.5.2	0.017691	FALSE	TRUE
2022-12-18	BA.5.2.1	154	81	1739	0.046578	81	154	0.042703	0.002846	0.037506	0.048982	1	BA.5.2.1*	BA.5.2	0.003875	FALSE	TRUE
