weekDate	variant	week.x	Freq	total	prop	weight	week.y	predicted	std.error	conf.low	conf.high	group	sublineage_grouped	prop.diff	withinInd	projInd
2022-10-23	BA.5	146	1184	1846	0.641387	1184	146	0.623922	0.007862	0.608053	0.637648	1	BA.5*	0.017464	TRUE	FALSE
2022-10-23	Other	146	71	1846	0.038462	71	146	0.035858	0.002776	0.031026	0.041919	1	Other	0.002604	TRUE	FALSE
2022-10-23	BA.4	146	6	1846	0.00325	6	146	0.005416	0.001296	0.003359	0.008707	1	BA.4*	0.002165	TRUE	FALSE
2022-10-23	BA.4.6	146	118	1846	0.063922	118	146	0.068296	0.004415	0.059609	0.077759	1	BA.4.6*	0.004374	TRUE	FALSE
2022-10-23	BF.7	146	122	1846	0.066089	122	146	0.069531	0.00395	0.062509	0.077405	1	BF.7*	0.003442	TRUE	FALSE
2022-10-23	BF.10	146	39	1846	0.021127	39	146	0.025437	0.00284	0.020552	0.031515	1	BF.10*	0.00431	TRUE	FALSE
2022-10-23	BQ.1	146	156	1846	0.084507	156	146	0.096295	0.004271	0.087805	0.104556	1	BQ.1*	0.011788	TRUE	FALSE
2022-10-23	BQ.1.1	146	150	1846	0.081257	150	146	0.075245	0.003545	0.068533	0.082574	1	BQ.1.1*	0.006011	TRUE	FALSE
2022-10-24	BA.5	NA	NA	NA	NA	NA	146.25	0.611352	0.007512	0.596477	0.624273	1	BA.5*	NA	FALSE	FALSE
2022-10-24	Other	NA	NA	NA	NA	NA	146.25	0.037341	0.002748	0.032589	0.043294	1	Other	NA	FALSE	FALSE
2022-10-24	BA.4	NA	NA	NA	NA	NA	146.25	0.005235	0.001182	0.003334	0.008299	1	BA.4*	NA	FALSE	FALSE
2022-10-24	BA.4.6	NA	NA	NA	NA	NA	146.25	0.066223	0.004048	0.058437	0.074776	1	BA.4.6*	NA	FALSE	FALSE
2022-10-24	BF.7	NA	NA	NA	NA	NA	146.25	0.071395	0.003846	0.06451	0.079169	1	BF.7*	NA	FALSE	FALSE
2022-10-24	BF.10	NA	NA	NA	NA	NA	146.25	0.024284	0.002554	0.019929	0.029763	1	BF.10*	NA	FALSE	FALSE
2022-10-24	BQ.1	NA	NA	NA	NA	NA	146.25	0.102113	0.004283	0.093637	0.110394	1	BQ.1*	NA	FALSE	FALSE
2022-10-24	BQ.1.1	NA	NA	NA	NA	NA	146.25	0.082057	0.003658	0.075086	0.089697	1	BQ.1.1*	NA	FALSE	FALSE
2022-10-26	BA.5	NA	NA	NA	NA	NA	146.5	0.598166	0.007178	0.584058	0.610547	1	BA.5*	NA	FALSE	FALSE
2022-10-26	Other	NA	NA	NA	NA	NA	146.5	0.038829	0.002713	0.034034	0.044752	1	Other	NA	FALSE	FALSE
2022-10-26	BA.4	NA	NA	NA	NA	NA	146.5	0.005053	0.001076	0.003345	0.007881	1	BA.4*	NA	FALSE	FALSE
2022-10-26	BA.4.6	NA	NA	NA	NA	NA	146.5	0.06412	0.003708	0.056985	0.071794	1	BA.4.6*	NA	FALSE	FALSE
2022-10-26	BF.7	NA	NA	NA	NA	NA	146.5	0.073203	0.003737	0.066496	0.080859	1	BF.7*	NA	FALSE	FALSE
2022-10-26	BF.10	NA	NA	NA	NA	NA	146.5	0.023149	0.002296	0.019277	0.027917	1	BF.10*	NA	FALSE	FALSE
2022-10-26	BQ.1	NA	NA	NA	NA	NA	146.5	0.108125	0.004282	0.099682	0.116454	1	BQ.1*	NA	FALSE	FALSE
