weekDate	variant	week.x	Freq	total	prop	weight	week.y	predicted	std.error	conf.low	conf.high	group	sublineage_grouped	prop.diff	withinInd	projInd
2022-10-23	BQ.1	146	156	1846	0.084507	156	146	0.09635	0.004273	0.088464	0.104817	1	BQ.1*	0.011843	TRUE	FALSE
2022-10-23	Other	146	71	1846	0.038462	71	146	0.035876	0.002777	0.030916	0.041371	1	Other	0.002585	TRUE	FALSE
2022-10-23	BA.5	146	1184	1846	0.641387	1184	146	0.623817	0.007862	0.607613	0.638766	1	BA.5*	0.01757	TRUE	FALSE
2022-10-23	BA.4	146	6	1846	0.00325	6	146	0.0054	0.001294	0.003371	0.008383	1	BA.4*	0.00215	TRUE	FALSE
2022-10-23	BA.4.6	146	118	1846	0.063922	118	146	0.068326	0.004416	0.060175	0.077311	1	BA.4.6*	0.004404	TRUE	FALSE
2022-10-23	BF.7	146	122	1846	0.066089	122	146	0.069563	0.003951	0.062205	0.078605	1	BF.7*	0.003475	TRUE	FALSE
2022-10-23	BF.10	146	39	1846	0.021127	39	146	0.025411	0.002838	0.020295	0.031234	1	BF.10*	0.004284	TRUE	FALSE
2022-10-23	BQ.1.1	146	150	1846	0.081257	150	146	0.075255	0.003545	0.068489	0.082206	1	BQ.1.1*	0.006001	TRUE	FALSE
2022-10-24	BQ.1	NA	NA	NA	NA	NA	146.25	0.102167	0.004285	0.094287	0.110535	1	BQ.1*	NA	FALSE	FALSE
2022-10-24	Other	NA	NA	NA	NA	NA	146.25	0.037359	0.002749	0.032423	0.042859	1	Other	NA	FALSE	FALSE
2022-10-24	BA.5	NA	NA	NA	NA	NA	146.25	0.61125	0.007513	0.596141	0.625408	1	BA.5*	NA	FALSE	FALSE
2022-10-24	BA.4	NA	NA	NA	NA	NA	146.25	0.00522	0.00118	0.003347	0.007891	1	BA.4*	NA	FALSE	FALSE
2022-10-24	BA.4.6	NA	NA	NA	NA	NA	146.25	0.066252	0.004049	0.058526	0.074544	1	BA.4.6*	NA	FALSE	FALSE
2022-10-24	BF.7	NA	NA	NA	NA	NA	146.25	0.071426	0.003847	0.064316	0.080264	1	BF.7*	NA	FALSE	FALSE
2022-10-24	BF.10	NA	NA	NA	NA	NA	146.25	0.024259	0.002553	0.019588	0.029496	1	BF.10*	NA	FALSE	FALSE
2022-10-24	BQ.1.1	NA	NA	NA	NA	NA	146.25	0.082067	0.003658	0.075096	0.089265	1	BQ.1.1*	NA	FALSE	FALSE
2022-10-26	BQ.1	NA	NA	NA	NA	NA	146.5	0.108178	0.004284	0.100356	0.116552	1	BQ.1*	NA	FALSE	FALSE
2022-10-26	Other	NA	NA	NA	NA	NA	146.5	0.038846	0.002713	0.034015	0.044217	1	Other	NA	FALSE	FALSE
2022-10-26	BA.5	NA	NA	NA	NA	NA	146.5	0.598066	0.007178	0.583331	0.611553	1	BA.5*	NA	FALSE	FALSE
