weekDate	variant	week.x	Freq	total	prop	weight	week.y	predicted	std.error	conf.low	conf.high	group	sublineage_grouped	prop.diff	withinInd	projInd
2022-10-23	BA.5.2	146	343	1846	0.185807	343	146	0.195605	0.00664	0.183152	0.207922	1	BA.5.2*	0.009798	TRUE	FALSE
2022-10-23	Other	146	211	1846	0.114301	211	146	0.10418	0.004932	0.095042	0.113768	1	Other	0.010121	TRUE	FALSE
2022-10-23	BA.4.6	146	118	1846	0.063922	118	146	0.06832	0.004415	0.059819	0.077069	1	BA.4.6*	0.004398	TRUE	FALSE
2022-10-23	BA.5.1	146	269	1846	0.14572	269	146	0.143661	0.006158	0.131978	0.156735	1	BA.5.1*	0.002059	TRUE	FALSE
2022-10-23	BA.5.2.1	146	477	1846	0.258397	477	146	0.246639	0.007401	0.232171	0.261308	1	BA.5.2.1*	0.011758	TRUE	FALSE
2022-10-23	BF.7	146	122	1846	0.066089	122	146	0.069599	0.003952	0.061989	0.077934	1	BF.7*	0.00351	TRUE	FALSE
2022-10-23	BQ.1	146	126	1846	0.068256	126	146	0.074743	0.003787	0.067917	0.082307	1	BQ.1*	0.006487	TRUE	FALSE
2022-10-23	BQ.1.1	146	150	1846	0.081257	150	146	0.075379	0.003548	0.068919	0.083432	1	BQ.1.1*	0.005878	TRUE	FALSE
2022-10-23	BQ.1.2	146	30	1846	0.016251	30	146	0.021694	0.002049	0.017968	0.025984	1	BQ.1.2*	0.005443	TRUE	FALSE
2022-10-23	XBB.1.5	146	0	1846	0	1	146	0.000179	0.000131	4.7e-05	0.00073	1	XBB.1.5*	0.000179	TRUE	FALSE
2022-10-24	BA.5.2	NA	NA	NA	NA	NA	146.25	0.193738	0.006235	0.181725	0.20524	1	BA.5.2*	NA	FALSE	FALSE
2022-10-24	Other	NA	NA	NA	NA	NA	146.25	0.105161	0.004717	0.096438	0.11419	1	Other	NA	FALSE	FALSE
2022-10-24	BA.4.6	NA	NA	NA	NA	NA	146.25	0.066225	0.004048	0.058367	0.07411	1	BA.4.6*	NA	FALSE	FALSE
2022-10-24	BA.5.1	NA	NA	NA	NA	NA	146.25	0.138653	0.005637	0.127908	0.150522	1	BA.5.1*	NA	FALSE	FALSE
2022-10-24	BA.5.2.1	NA	NA	NA	NA	NA	146.25	0.24019	0.006862	0.226764	0.2537	1	BA.5.2.1*	NA	FALSE	FALSE
2022-10-24	BF.7	NA	NA	NA	NA	NA	146.25	0.071438	0.003847	0.064141	0.079515	1	BF.7*	NA	FALSE	FALSE
2022-10-24	BQ.1	NA	NA	NA	NA	NA	146.25	0.07918	0.003802	0.072309	0.086633	1	BQ.1*	NA	FALSE	FALSE
2022-10-24	BQ.1.1	NA	NA	NA	NA	NA	146.25	0.082167	0.00366	0.075459	0.090404	1	BQ.1.1*	NA	FALSE	FALSE
2022-10-24	BQ.1.2	NA	NA	NA	NA	NA	146.25	0.02304	0.002072	0.019279	0.027365	1	BQ.1.2*	NA	FALSE	FALSE
2022-10-24	XBB.1.5	NA	NA	NA	NA	NA	146.25	0.000207	0.000146	5.7e-05	0.000806	1	XBB.1.5*	NA	FALSE	FALSE
2022-10-26	BA.5.2	NA	NA	NA	NA	NA	146.5	0.191612	0.005847	0.180601	0.202386	1	BA.5.2*	NA	FALSE	FALSE
2022-10-26	Other	NA	NA	NA	NA	NA	146.5	0.105997	0.004502	0.097665	0.114645	1	Other	NA	FALSE	FALSE
2022-10-26	BA.4.6	NA	NA	NA	NA	NA	146.5	0.064102	0.003706	0.056885	0.071199	1	BA.4.6*	NA	FALSE	FALSE
2022-10-26	BA.5.1	NA	NA	NA	NA	NA	146.5	0.133626	0.005155	0.123702	0.144531	1	BA.5.1*	NA	FALSE	FALSE
2022-10-26	BA.5.2.1	NA	NA	NA	NA	NA	146.5	0.233573	0.006356	0.221207	0.246178	1	BA.5.2.1*	NA	FALSE	FALSE
2022-10-26	BF.7	NA	NA	NA	NA	NA	146.5	0.07322	0.003736	0.066217	0.081056	1	BF.7*	NA	FALSE	FALSE
2022-10-26	BQ.1	NA	NA	NA	NA	NA	146.5	0.083759	0.003806	0.076728	0.091128	1	BQ.1*	NA	FALSE	FALSE
2022-10-26	BQ.1.1	NA	NA	NA	NA	NA	146.5	0.089438	0.003762	0.082504	0.097842	1	BQ.1.1*	NA	FALSE	FALSE
2022-10-26	BQ.1.2	NA	NA	NA	NA	NA	146.5	0.024435	0.00209	0.020622	0.02878	1	BQ.1.2*	NA	FALSE	FALSE
2022-10-26	XBB.1.5	NA	NA	NA	NA	NA	146.5	0.00024	0.000161	7e-05	0.000878	1	XBB.1.5*	NA	FALSE	FALSE
2022-10-28	BA.5.2	NA	NA	NA	NA	NA	146.75	0.189224	0.00548	0.178599	0.199346	1	BA.5.2*	NA	FALSE	FALSE
2022-10-28	Other	NA	NA	NA	NA	NA	146.75	0.106679	0.004289	0.098701	0.114989	1	Other	NA	FALSE	FALSE
2022-10-28	BA.4.6	NA	NA	NA	NA	NA	146.75	0.061953	0.003393	0.055466	0.068424	1	BA.4.6*	NA	FALSE	FALSE
2022-10-28	BA.5.1	NA	NA	NA	NA	NA	146.75	0.128587	0.004714	0.119295	0.138663	1	BA.5.1*	NA	FALSE	FALSE
2022-10-28	BA.5.2.1	NA	NA	NA	NA	NA	146.75	0.226796	0.005886	0.215166	0.238442	1	BA.5.2.1*	NA	FALSE	FALSE
2022-10-28	BF.7	NA	NA	NA	NA	NA	146.75	0.074934	0.00362	0.068149	0.082481	1	BF.7*	NA	FALSE	FALSE
2022-10-28	BQ.1	NA	NA	NA	NA	NA	146.75	0.088469	0.003799	0.081511	0.095719	1	BQ.1*	NA	FALSE	FALSE
2022-10-28	BQ.1.1	NA	NA	NA	NA	NA	146.75	0.097206	0.003854	0.090069	0.105561	1	BQ.1.1*	NA	FALSE	FALSE
2022-10-28	BQ.1.2	NA	NA	NA	NA	NA	146.75	0.025876	0.002102	0.021998	0.03023	1	BQ.1.2*	NA	FALSE	FALSE
2022-10-28	XBB.1.5	NA	NA	NA	NA	NA	146.75	0.000276	0.000177	8.6e-05	0.000953	1	XBB.1.5*	NA	FALSE	FALSE
2022-10-30	BA.5.2	147	310	1565	0.198083	310	147	0.186574	0.005135	0.17632	0.196118	1	BA.5.2*	0.011509	TRUE	FALSE
2022-10-30	Other	147	152	1565	0.097125	152	147	0.107198	0.004082	0.099557	0.11511	1	Other	0.010073	TRUE	FALSE
2022-10-30	BA.4.6	147	100	1565	0.063898	100	147	0.059783	0.00311	0.053839	0.065683	1	BA.4.6*	0.004115	TRUE	FALSE
2022-10-30	BA.5.1	147	197	1565	0.125879	197	147	0.123546	0.004317	0.114883	0.132707	1	BA.5.1*	0.002333	TRUE	FALSE
2022-10-30	BA.5.2.1	147	343	1565	0.219169	343	147	0.219873	0.005454	0.208982	0.230773	1	BA.5.2.1*	0.000704	TRUE	FALSE
2022-10-30	BF.7	147	118	1565	0.075399	118	147	0.076568	0.003501	0.07002	0.083892	1	BF.7*	0.001169	TRUE	FALSE
2022-10-30	BQ.1	147	169	1565	0.107987	169	147	0.093299	0.003782	0.086395	0.100443	1	BQ.1*	0.014689	TRUE	FALSE
