weekDate	variant	week.x	Freq	total	prop	weight	week.y	predicted	std.error	conf.low	conf.high	group	sublineage_grouped	week.coef	se	CI.week.2.5..	CI.week.97.5..
2022-12-25	BA.5.2	155	99	1804	0.054878	99	155	0.04439	0.003291	0.038321	0.051118	1	BA.5.2*	0	0	0	0
2022-12-25	Other	155	123	1804	0.068182	123	155	0.04678	0.003818	0.040115	0.055168	1	Other	0.075823	0.016618	0.043253	0.108393
2022-12-25	BA.4.6	155	19	1804	0.010532	19	155	0.007136	0.001077	0.005341	0.009658	1	BA.4.6*	-0.086227	0.023723	-0.132724	-0.03973
2022-12-25	BA.5.1	155	35	1804	0.019401	35	155	0.012835	0.001418	0.010343	0.015924	1	BA.5.1*	-0.103579	0.018498	-0.139835	-0.067323
2022-12-25	BA.5.2.1	155	64	1804	0.035477	64	155	0.03046	0.002409	0.025982	0.035649	1	BA.5.2.1*	-0.067604	0.015161	-0.097319	-0.037888
2022-12-25	BF.7	155	116	1804	0.064302	116	155	0.057054	0.004717	0.048043	0.066164	1	BF.7*	0.142703	0.017514	0.108377	0.17703
2022-12-25	BQ.1	155	340	1804	0.18847	340	155	0.190972	0.010103	0.172038	0.210315	1	BQ.1*	0.269016	0.015329	0.238971	0.299061
2022-12-25	BQ.1.1	155	867	1804	0.480599	867	155	0.538693	0.013619	0.507981	0.562573	1	BQ.1.1*	0.3833	0.014262	0.355346	0.411253
2022-12-25	BQ.1.2	155	75	1804	0.041574	75	155	0.060779	0.006141	0.049262	0.074062	1	BQ.1.2*	0.279254	0.02252	0.235116	0.323392
2022-12-25	XBB.1.5	155	66	1804	0.036585	66	155	0.0109	0.005101	0.004707	0.027989	1	XBB.1.5*	0.621137	0.125473	0.375214	0.867059
