weekDate	variant	week.x	Freq	total	prop	weight	week.y	predicted	std.error	conf.low	conf.high	group	sublineage_grouped	prop.diff	withinInd	projInd
2022-10-23	BQ.1.1	146	150	1846	0.081257	150	146	0.074918	0.003534	0.067913	0.081444	1	BQ.1.1*	0.006339	TRUE	FALSE
2022-10-23	Other	146	17	1846	0.009209	17	146	0.01281	0.001752	0.009767	0.016944	1	Other	0.003601	TRUE	FALSE
2022-10-23	BA.4.6	146	118	1846	0.063922	118	146	0.068152	0.004408	0.06016	0.077241	1	BA.4.6*	0.00423	TRUE	FALSE
2022-10-23	BA.5.1	146	269	1846	0.14572	269	146	0.143321	0.006149	0.131193	0.155722	1	BA.5.1*	0.0024	TRUE	FALSE
2022-10-23	BA.5.2	146	343	1846	0.185807	343	146	0.195024	0.00663	0.18168	0.207536	1	BA.5.2*	0.009217	TRUE	FALSE
2022-10-23	BA.5.2.1	146	477	1846	0.258397	477	146	0.246006	0.007393	0.231991	0.260704	1	BA.5.2.1*	0.01239	TRUE	FALSE
2022-10-23	BF.7	146	122	1846	0.066089	122	146	0.069322	0.003941	0.062002	0.078152	1	BF.7*	0.003233	TRUE	FALSE
2022-10-23	BQ.1	146	126	1846	0.068256	126	146	0.074368	0.003774	0.066933	0.081924	1	BQ.1*	0.006112	TRUE	FALSE
2022-10-23	BQ.1.2	146	30	1846	0.016251	30	146	0.021581	0.00204	0.01812	0.025857	1	BQ.1.2*	0.00533	TRUE	FALSE
2022-10-23	XBB.1.5	146	0	1846	0	1	146	0.000178	0.00013	3.8e-05	0.000728	1	XBB.1.5*	0.000178	TRUE	FALSE
2022-10-23	BA.5	146	134	1846	0.072589	134	146	0.065348	0.004224	0.057662	0.074647	1	BA.5*	0.007242	TRUE	FALSE
2022-10-23	BA.2.75	146	50	1846	0.027086	50	146	0.025558	0.002406	0.021342	0.03022	1	BA.2.75*	0.001527	TRUE	FALSE
2022-10-23	XBB	146	10	1846	0.005417	10	146	0.003415	0.000824	0.002149	0.005591	1	XBB*	0.002002	TRUE	FALSE
2022-10-24	BQ.1.1	NA	NA	NA	NA	NA	146.25	0.081757	0.003648	0.074532	0.088463	1	BQ.1.1*	NA	FALSE	FALSE
2022-10-24	Other	NA	NA	NA	NA	NA	146.25	0.013113	0.001705	0.010127	0.017114	1	Other	NA	FALSE	FALSE
2022-10-24	BA.4.6	NA	NA	NA	NA	NA	146.25	0.06612	0.004044	0.05877	0.07419	1	BA.4.6*	NA	FALSE	FALSE
2022-10-24	BA.5.1	NA	NA	NA	NA	NA	146.25	0.138443	0.005632	0.12732	0.149563	1	BA.5.1*	NA	FALSE	FALSE
2022-10-24	BA.5.2	NA	NA	NA	NA	NA	146.25	0.19334	0.006229	0.180705	0.205331	1	BA.5.2*	NA	FALSE	FALSE
2022-10-24	BA.5.2.1	NA	NA	NA	NA	NA	146.25	0.239786	0.006858	0.226859	0.253199	1	BA.5.2.1*	NA	FALSE	FALSE
2022-10-24	BF.7	NA	NA	NA	NA	NA	146.25	0.071225	0.00384	0.064184	0.079796	1	BF.7*	NA	FALSE	FALSE
2022-10-24	BQ.1	NA	NA	NA	NA	NA	146.25	0.078866	0.003792	0.071293	0.086385	1	BQ.1*	NA	FALSE	FALSE
2022-10-24	BQ.1.2	NA	NA	NA	NA	NA	146.25	0.022945	0.002066	0.019408	0.027217	1	BQ.1.2*	NA	FALSE	FALSE
2022-10-24	XBB.1.5	NA	NA	NA	NA	NA	146.25	0.000206	0.000145	4.8e-05	0.000793	1	XBB.1.5*	NA	FALSE	FALSE
2022-10-24	BA.5	NA	NA	NA	NA	NA	146.25	0.064183	0.003927	0.056968	0.072655	1	BA.5*	NA	FALSE	FALSE
2022-10-24	BA.2.75	NA	NA	NA	NA	NA	146.25	0.026398	0.002362	0.022251	0.030925	1	BA.2.75*	NA	FALSE	FALSE
2022-10-24	XBB	NA	NA	NA	NA	NA	146.25	0.003617	0.000832	0.002328	0.005762	1	XBB*	NA	FALSE	FALSE
2022-10-26	BQ.1.1	NA	NA	NA	NA	NA	146.5	0.089087	0.003754	0.081591	0.095925	1	BQ.1.1*	NA	FALSE	FALSE
2022-10-26	Other	NA	NA	NA	NA	NA	146.5	0.013404	0.001654	0.010494	0.01724	1	Other	NA	FALSE	FALSE
2022-10-26	BA.4.6	NA	NA	NA	NA	NA	146.5	0.064052	0.003705	0.057115	0.07146	1	BA.4.6*	NA	FALSE	FALSE
2022-10-26	BA.5.1	NA	NA	NA	NA	NA	146.5	0.13353	0.005154	0.123272	0.143608	1	BA.5.1*	NA	FALSE	FALSE
2022-10-26	BA.5.2	NA	NA	NA	NA	NA	146.5	0.191383	0.005844	0.17949	0.202625	1	BA.5.2*	NA	FALSE	FALSE
2022-10-26	BA.5.2.1	NA	NA	NA	NA	NA	146.5	0.233371	0.006355	0.221363	0.245568	1	BA.5.2.1*	NA	FALSE	FALSE
2022-10-26	BF.7	NA	NA	NA	NA	NA	146.5	0.073071	0.003732	0.066388	0.081505	1	BF.7*	NA	FALSE	FALSE
2022-10-26	BQ.1	NA	NA	NA	NA	NA	146.5	0.083511	0.003799	0.075831	0.091016	1	BQ.1*	NA	FALSE	FALSE
2022-10-26	BQ.1.2	NA	NA	NA	NA	NA	146.5	0.024359	0.002086	0.020733	0.028624	1	BQ.1.2*	NA	FALSE	FALSE
2022-10-26	XBB.1.5	NA	NA	NA	NA	NA	146.5	0.000238	0.00016	5.9e-05	0.000862	1	XBB.1.5*	NA	FALSE	FALSE
2022-10-26	BA.5	NA	NA	NA	NA	NA	146.5	0.062944	0.003645	0.056166	0.070774	1	BA.5*	NA	FALSE	FALSE
2022-10-26	BA.2.75	NA	NA	NA	NA	NA	146.5	0.027225	0.002313	0.023138	0.0316	1	BA.2.75*	NA	FALSE	FALSE
2022-10-26	XBB	NA	NA	NA	NA	NA	146.5	0.003826	0.000838	0.002508	0.005966	1	XBB*	NA	FALSE	FALSE
2022-10-28	BQ.1.1	NA	NA	NA	NA	NA	146.75	0.096921	0.003848	0.089252	0.103911	1	BQ.1.1*	NA	FALSE	FALSE
2022-10-28	Other	NA	NA	NA	NA	NA	146.75	0.013679	0.001601	0.01086	0.017334	1	Other	NA	FALSE	FALSE
2022-10-28	BA.4.6	NA	NA	NA	NA	NA	146.75	0.061951	0.003395	0.05566	0.068576	1	BA.4.6*	NA	FALSE	FALSE
2022-10-28	BA.5.1	NA	NA	NA	NA	NA	146.75	0.128589	0.004716	0.119173	0.137709	1	BA.5.1*	NA	FALSE	FALSE
2022-10-28	BA.5.2	NA	NA	NA	NA	NA	146.75	0.189148	0.00548	0.178043	0.19937	1	BA.5.2*	NA	FALSE	FALSE
2022-10-28	BA.5.2.1	NA	NA	NA	NA	NA	146.75	0.226772	0.005887	0.215647	0.238086	1	BA.5.2.1*	NA	FALSE	FALSE
2022-10-28	BF.7	NA	NA	NA	NA	NA	146.75	0.074846	0.003619	0.068337	0.083129	1	BF.7*	NA	FALSE	FALSE
2022-10-28	BQ.1	NA	NA	NA	NA	NA	146.75	0.088291	0.003795	0.080589	0.095692	1	BQ.1*	NA	FALSE	FALSE
2022-10-28	BQ.1.2	NA	NA	NA	NA	NA	146.75	0.02582	0.002099	0.022098	0.030142	1	BQ.1.2*	NA	FALSE	FALSE
2022-10-28	XBB.1.5	NA	NA	NA	NA	NA	146.75	0.000275	0.000177	7.3e-05	0.000936	1	XBB.1.5*	NA	FALSE	FALSE
2022-10-28	BA.5	NA	NA	NA	NA	NA	146.75	0.061632	0.00338	0.055525	0.068958	1	BA.5*	NA	FALSE	FALSE
2022-10-28	BA.2.75	NA	NA	NA	NA	NA	146.75	0.028034	0.002259	0.023946	0.032288	1	BA.2.75*	NA	FALSE	FALSE
2022-10-28	XBB	NA	NA	NA	NA	NA	146.75	0.004041	0.000842	0.002715	0.006169	1	XBB*	NA	FALSE	FALSE
2022-10-30	BQ.1.1	147	139	1565	0.088818	139	147	0.105273	0.003931	0.097336	0.11236	1	BQ.1.1*	0.016455	TRUE	FALSE
2022-10-30	Other	147	27	1565	0.017252	27	147	0.013937	0.001546	0.011215	0.017425	1	Other	0.003315	TRUE	FALSE
2022-10-30	BA.4.6	147	100	1565	0.063898	100	147	0.059821	0.003113	0.053954	0.065769	1	BA.4.6*	0.004076	TRUE	FALSE
2022-10-30	BA.5.1	147	197	1565	0.125879	197	147	0.12363	0.004321	0.115188	0.132026	1	BA.5.1*	0.002249	TRUE	FALSE
2022-10-30	BA.5.2	147	310	1565	0.198083	310	147	0.186635	0.005138	0.17605	0.195976	1	BA.5.2*	0.011448	TRUE	FALSE
2022-10-30	BA.5.2.1	147	343	1565	0.219169	343	147	0.220001	0.005457	0.209841	0.230539	1	BA.5.2.1*	0.000831	TRUE	FALSE
2022-10-30	BF.7	147	118	1565	0.075399	118	147	0.07654	0.003502	0.070349	0.084557	1	BF.7*	0.001141	TRUE	FALSE
2022-10-30	BQ.1	147	169	1565	0.107987	169	147	0.093192	0.003781	0.085591	0.100532	1	BQ.1*	0.014795	TRUE	FALSE
2022-10-30	BQ.1.2	147	37	1565	0.023642	37	147	0.027323	0.002107	0.023552	0.031595	1	BQ.1.2*	0.003681	TRUE	FALSE
2022-10-30	XBB.1.5	147	0	1565	0	1	147	0.000317	0.000194	9e-05	0.001032	1	XBB.1.5*	0.000317	TRUE	FALSE
2022-10-30	BA.5	147	75	1565	0.047923	75	147	0.060249	0.003135	0.054513	0.067077	1	BA.5*	0.012326	TRUE	FALSE
2022-10-30	BA.2.75	147	42	1565	0.026837	42	147	0.02882	0.002201	0.024853	0.032914	1	BA.2.75*	0.001983	TRUE	FALSE
2022-10-30	XBB	147	8	1565	0.005112	8	147	0.004261	0.000843	0.002917	0.006362	1	XBB*	0.000851	TRUE	FALSE
2022-10-31	BQ.1.1	NA	NA	NA	NA	NA	147.25	0.114151	0.004001	0.106026	0.121306	1	BQ.1.1*	NA	FALSE	FALSE
2022-10-31	Other	NA	NA	NA	NA	NA	147.25	0.014176	0.001491	0.011582	0.017496	1	Other	NA	FALSE	FALSE
2022-10-31	BA.4.6	NA	NA	NA	NA	NA	147.25	0.057667	0.002862	0.052363	0.063173	1	BA.4.6*	NA	FALSE	FALSE
2022-10-31	BA.5.1	NA	NA	NA	NA	NA	147.25	0.11866	0.00397	0.11099	0.126441	1	BA.5.1*	NA	FALSE	FALSE
2022-10-31	BA.5.2	NA	NA	NA	NA	NA	147.25	0.183844	0.004822	0.174052	0.192569	1	BA.5.2*	NA	FALSE	FALSE
2022-10-31	BA.5.2.1	NA	NA	NA	NA	NA	147.25	0.213071	0.005069	0.203517	0.223021	1	BA.5.2.1*	NA	FALSE	FALSE
2022-10-31	BF.7	NA	NA	NA	NA	NA	147.25	0.07814	0.003384	0.072178	0.085901	1	BF.7*	NA	FALSE	FALSE
2022-10-31	BQ.1	NA	NA	NA	NA	NA	147.25	0.098199	0.003756	0.090576	0.105449	1	BQ.1*	NA	FALSE	FALSE
2022-10-31	BQ.1.2	NA	NA	NA	NA	NA	147.25	0.028865	0.002108	0.025127	0.033128	1	BQ.1.2*	NA	FALSE	FALSE
2022-10-31	XBB.1.5	NA	NA	NA	NA	NA	147.25	0.000365	0.000213	0.000109	0.001124	1	XBB.1.5*	NA	FALSE	FALSE
2022-10-31	BA.5	NA	NA	NA	NA	NA	147.25	0.058798	0.002911	0.053492	0.065034	1	BA.5*	NA	FALSE	FALSE
2022-10-31	BA.2.75	NA	NA	NA	NA	NA	147.25	0.029577	0.002139	0.025701	0.033494	1	BA.2.75*	NA	FALSE	FALSE
2022-10-31	XBB	NA	NA	NA	NA	NA	147.25	0.004485	0.000842	0.003133	0.006556	1	XBB*	NA	FALSE	FALSE
2022-11-02	BQ.1.1	NA	NA	NA	NA	NA	147.5	0.123562	0.004057	0.115292	0.130929	1	BQ.1.1*	NA	FALSE	FALSE
2022-11-02	Other	NA	NA	NA	NA	NA	147.5	0.014394	0.001435	0.011882	0.017466	1	Other	NA	FALSE	FALSE
2022-11-02	BA.4.6	NA	NA	NA	NA	NA	147.5	0.055494	0.002644	0.05044	0.060671	1	BA.4.6*	NA	FALSE	FALSE
2022-11-02	BA.5.1	NA	NA	NA	NA	NA	147.5	0.113691	0.003667	0.10663	0.120896	1	BA.5.1*	NA	FALSE	FALSE
2022-11-02	BA.5.2	NA	NA	NA	NA	NA	147.5	0.180778	0.004534	0.171611	0.188962	1	BA.5.2*	NA	FALSE	FALSE
2022-11-02	BA.5.2.1	NA	NA	NA	NA	NA	147.5	0.205997	0.004724	0.19714	0.215246	1	BA.5.2.1*	NA	FALSE	FALSE
2022-11-02	BF.7	NA	NA	NA	NA	NA	147.5	0.079634	0.003266	0.073903	0.087078	1	BF.7*	NA	FALSE	FALSE
2022-11-02	BQ.1	NA	NA	NA	NA	NA	147.5	0.103294	0.003722	0.095772	0.1105	1	BQ.1*	NA	FALSE	FALSE
2022-11-02	BQ.1.2	NA	NA	NA	NA	NA	147.5	0.03044	0.002103	0.026696	0.034671	1	BQ.1.2*	NA	FALSE	FALSE
2022-11-02	XBB.1.5	NA	NA	NA	NA	NA	147.5	0.000419	0.000233	0.000133	0.001219	1	XBB.1.5*	NA	FALSE	FALSE
2022-11-02	BA.5	NA	NA	NA	NA	NA	147.5	0.057281	0.002711	0.05231	0.063128	1	BA.5*	NA	FALSE	FALSE
2022-11-02	BA.2.75	NA	NA	NA	NA	NA	147.5	0.030302	0.002076	0.026517	0.034215	1	BA.2.75*	NA	FALSE	FALSE
2022-11-02	XBB	NA	NA	NA	NA	NA	147.5	0.004713	0.000838	0.003335	0.006753	1	XBB*	NA	FALSE	FALSE
2022-11-04	BQ.1.1	NA	NA	NA	NA	NA	147.75	0.133506	0.0041	0.125143	0.141164	1	BQ.1.1*	NA	FALSE	FALSE
2022-11-04	Other	NA	NA	NA	NA	NA	147.75	0.014589	0.001381	0.012157	0.017474	1	Other	NA	FALSE	FALSE
2022-11-04	BA.4.6	NA	NA	NA	NA	NA	147.75	0.053305	0.002459	0.048588	0.058063	1	BA.4.6*	NA	FALSE	FALSE
2022-11-04	BA.5.1	NA	NA	NA	NA	NA	147.75	0.108734	0.00341	0.102148	0.115454	1	BA.5.1*	NA	FALSE	FALSE
2022-11-04	BA.5.2	NA	NA	NA	NA	NA	147.75	0.177442	0.004279	0.168764	0.185375	1	BA.5.2*	NA	FALSE	FALSE
2022-11-04	BA.5.2.1	NA	NA	NA	NA	NA	147.75	0.198799	0.004426	0.190742	0.207713	1	BA.5.2.1*	NA	FALSE	FALSE
2022-11-04	BF.7	NA	NA	NA	NA	NA	147.75	0.08101	0.003151	0.075509	0.08813	1	BF.7*	NA	FALSE	FALSE
2022-11-04	BQ.1	NA	NA	NA	NA	NA	147.75	0.108457	0.003681	0.101094	0.11548	1	BQ.1*	NA	FALSE	FALSE
2022-11-04	BQ.1.2	NA	NA	NA	NA	NA	147.75	0.032044	0.002093	0.028277	0.036249	1	BQ.1.2*	NA	FALSE	FALSE
2022-11-04	XBB.1.5	NA	NA	NA	NA	NA	147.75	0.000481	0.000253	0.000165	0.001329	1	XBB.1.5*	NA	FALSE	FALSE
2022-11-04	BA.5	NA	NA	NA	NA	NA	147.75	0.055702	0.002536	0.050938	0.061073	1	BA.5*	NA	FALSE	FALSE
2022-11-04	BA.2.75	NA	NA	NA	NA	NA	147.75	0.030988	0.002013	0.02743	0.034698	1	BA.2.75*	NA	FALSE	FALSE
2022-11-04	XBB	NA	NA	NA	NA	NA	147.75	0.004943	0.000832	0.003563	0.006935	1	XBB*	NA	FALSE	FALSE
2022-11-06	BQ.1.1	148	177	1335	0.132584	177	148	0.143982	0.004131	0.135588	0.1518	1	BQ.1.1*	0.011398	TRUE	FALSE
2022-11-06	Other	148	21	1335	0.01573	21	148	0.014759	0.00133	0.012423	0.017482	1	Other	0.000971	TRUE	FALSE
2022-11-06	BA.4.6	148	80	1335	0.059925	80	148	0.051108	0.002306	0.046619	0.055518	1	BA.4.6*	0.008817	TRUE	FALSE
2022-11-06	BA.5.1	148	146	1335	0.109363	146	148	0.103799	0.0032	0.097581	0.110177	1	BA.5.1*	0.005565	TRUE	FALSE
2022-11-06	BA.5.2	148	236	1335	0.176779	236	148	0.173843	0.004057	0.165638	0.181511	1	BA.5.2*	0.002936	TRUE	FALSE
2022-11-06	BA.5.2.1	148	255	1335	0.191011	255	148	0.191496	0.004175	0.183989	0.199772	1	BA.5.2.1*	0.000484	TRUE	FALSE
2022-11-06	BF.7	148	130	1335	0.097378	130	148	0.082256	0.003042	0.076924	0.088847	1	BF.7*	0.015123	TRUE	FALSE
2022-11-06	BQ.1	148	131	1335	0.098127	131	148	0.113666	0.003635	0.106546	0.120537	1	BQ.1*	0.015539	TRUE	FALSE
2022-11-06	BQ.1.2	148	38	1335	0.028464	38	148	0.033669	0.002078	0.029907	0.037814	1	BQ.1.2*	0.005205	TRUE	FALSE
2022-11-06	XBB.1.5	148	0	1335	0	1	148	0.000551	0.000274	2e-04	0.001467	1	XBB.1.5*	0.000551	TRUE	FALSE
2022-11-06	BA.5	148	84	1335	0.062921	84	148	0.054066	0.002388	0.049436	0.059133	1	BA.5*	0.008855	TRUE	FALSE
2022-11-06	BA.2.75	148	32	1335	0.02397	32	148	0.03163	0.001952	0.028224	0.035246	1	BA.2.75*	0.00766	TRUE	FALSE
2022-11-06	XBB	148	5	1335	0.003745	5	148	0.005175	0.000824	0.003798	0.007109	1	XBB*	0.00143	TRUE	FALSE
2022-11-07	BQ.1.1	NA	NA	NA	NA	NA	148.25	0.154984	0.004149	0.146646	0.162804	1	BQ.1.1*	NA	FALSE	FALSE
