weekDate	variant	week.x	Freq	total	prop	weight	week.y	predicted	std.error	conf.low	conf.high	group	sublineage_grouped	week.coef	se	CI.week.2.5..	CI.week.97.5..
2022-12-25	BQ.1.1	155	867	1804	0.480599	867	155	0.535519	0.013641	0.508139	0.562323	1	BQ.1.1*	0	0	0	0
2022-12-25	Other	155	17	1804	0.009424	17	155	0.009159	0.00183	0.005991	0.013184	1	Other	-0.25582	0.034338	-0.323122	-0.188518
2022-12-25	BA.4.6	155	19	1804	0.010532	19	155	0.007054	0.001066	0.005151	0.00928	1	BA.4.6*	-0.470552	0.023334	-0.516285	-0.424818
2022-12-25	BA.5.1	155	35	1804	0.019401	35	155	0.012683	0.001403	0.010255	0.015476	1	BA.5.1*	-0.487968	0.018007	-0.523261	-0.452674
2022-12-25	BA.5.2	155	99	1804	0.054878	99	155	0.043937	0.003263	0.037813	0.050826	1	BA.5.2*	-0.384136	0.014281	-0.412126	-0.356145
2022-12-25	BA.5.2.1	155	64	1804	0.035477	64	155	0.030118	0.002386	0.025664	0.035548	1	BA.5.2.1*	-0.451897	0.014487	-0.480291	-0.423503
2022-12-25	BF.7	155	116	1804	0.064302	116	155	0.056576	0.004684	0.048001	0.066215	1	BF.7*	-0.241114	0.016623	-0.273695	-0.208533
2022-12-25	BQ.1	155	340	1804	0.18847	340	155	0.189636	0.010053	0.169302	0.210429	1	BQ.1*	-0.11453	0.014067	-0.1421	-0.08696
2022-12-25	BQ.1.2	155	75	1804	0.041574	75	155	0.060354	0.006106	0.049048	0.074427	1	BQ.1.2*	-0.104272	0.021682	-0.146768	-0.061776
2022-12-25	XBB.1.5	155	66	1804	0.036585	66	155	0.010849	0.005082	0.004325	0.02718	1	XBB.1.5*	0.238194	0.12537	-0.007527	0.483914
2022-12-25	BA.5	155	45	1804	0.024945	45	155	0.010527	0.001439	0.007997	0.013311	1	BA.5*	-0.421405	0.021959	-0.464443	-0.378367
2022-12-25	BA.2.75	155	39	1804	0.021619	39	155	0.025208	0.003244	0.019771	0.032247	1	BA.2.75*	-0.220071	0.023836	-0.266789	-0.173353
2022-12-25	XBB	155	22	1804	0.012195	22	155	0.008381	0.002264	0.004899	0.014168	1	XBB*	-0.118773	0.051587	-0.219881	-0.017666
